Table,Year,Rcode,Demographic,Description,Est1,Est2,Est3,Est4,Est5,Est6,Est7,Est8,Est9,Est10,Est11,DQF1,DQF2,DQF3,DQF4,DQF5,DQF6,DQF7,DQF8,DQF9,DQF10,DQF11,RSE1,RSE2,RSE3,RSE4,RSE5,RSE6,RSE7,RSE8,RSE9,RSE10,RSE11,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
T10,2012,PL02,Labour force status,Unemployed,35.4,29.5,25.6,13.4,10.8,9.1,4.8,2.6,,3.1,135.2,*,*,*,*,**,**,**,***,S,***,,30.6,30.6,40.8,51,71.4,56.1,71.4,107.1,,112.2,15.3,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2012,PL03,Labour force status,Not in the Labour Force,258.4,174.5,228.8,194.5,136.9,65.9,40.9,21.4,15.5,20.1,1156.8,,,,,,*,*,*,*,*,,10.2,15.3,10.2,15.3,10.2,20.4,25.5,45.9,40.8,35.7,5.1,"Under    $1,400","$1,400 To   $11,099","$11,100 To   $16,399","$16,400 To   $21,899","$21,900 To   $29,899","$29,900 To   $37,599","$37,600 To   $46,999","$47,000 To   $59,999","$60,000 To   $79,999","$80,000 and Over"
T10,2013,PS01,Sex,Male,160.4,140.1,138.5,123.5,119.5,153.9,174.6,200.9,203.4,241.7,1656.4,,,,,,,,,,,,15.3,15.3,15.3,15.3,20.4,15.3,15.3,15.3,15.3,10.2,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PS02,Sex,Female,174.1,212,204.8,221.1,227.5,181.3,166.1,151.9,136.1,101.5,1776.3,,,,,,,,,,,,15.3,15.3,15.3,10.2,10.2,15.3,15.3,15.3,15.3,15.3,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,P999,Total People 15+,Total people 15+,334.5,352.1,343.3,344.6,347,335.1,340.7,352.8,339.5,343.2,3432.7,,,,,,,,,,,,10.2,10.2,10.2,10.2,10.2,15.3,10.2,10.2,15.3,10.2,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA01,Age group,15-19,166,94,18.3,6.1,6.1,7.2,,,,,299,,,*,**,**,**,S,,,,,10.2,15.3,40.8,86.7,76.5,86.7,,,,,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA02,Age group,20-24,28.8,55,44.6,39.2,36.6,39.1,35.3,22.7,2.9,,305,**,*,*,*,*,*,*,*,**,S,,56.1,30.6,30.6,30.6,35.7,35.7,35.7,45.9,96.9,,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA03,Age group,25-29,14.3,29,18.2,14.5,27,30.5,41.4,41.1,40,15.1,271.1,*,*,*,*,*,*,*,*,**,**,,40.8,40.8,51,45.9,40.8,35.7,30.6,30.6,66.3,51,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA04,Age group,30-34,11.9,27.2,19.5,21.5,27.3,30.1,37,32.7,36.8,22.4,266.3,**,*,*,**,*,*,*,*,*,*,,71.4,40.8,40.8,56.1,35.7,35.7,35.7,30.6,30.6,35.7,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA05,Age group,35-39,23.4,21.7,15.9,9.9,21.4,43.4,27.1,39.3,37.6,37.2,276.9,*,*,**,**,*,*,*,*,*,*,,35.7,40.8,51,51,45.9,30.6,30.6,30.6,25.5,30.6,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA06,Age group,40-44,22.6,21.1,13.9,22.8,34.2,30.7,33.3,36.5,46.2,53.1,314.3,*,*,**,*,*,*,*,*,*,*,,45.9,45.9,51,35.7,30.6,30.6,30.6,30.6,25.5,25.5,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA07,Age group,45-49,15,17.8,15.8,19.5,28.2,31.7,42.9,44.2,39.9,55.7,310.7,*,*,*,*,*,*,*,*,*,*,,45.9,40.8,40.8,45.9,45.9,35.7,30.6,30.6,30.6,20.4,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA08,Age group,50-54,13.5,27.8,24.6,13.5,26.9,24.3,41.4,38.8,37.1,58.9,306.8,**,*,*,**,*,*,*,*,*,*,,61.2,51,45.9,51,35.7,30.6,35.7,40.8,35.7,25.5,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA09,Age group,55-59,14.5,21,25.3,24.6,25.2,28.7,26.5,25.3,41.8,32.8,265.7,**,*,*,*,*,*,*,*,*,*,,61.2,40.8,35.7,40.8,40.8,35.7,35.7,30.6,30.6,35.7,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA10,Age group,60-64,17.6,24.6,29.4,21.8,19.8,20.1,18.9,33.6,24.7,26.6,237.1,**,*,*,*,*,*,*,*,*,*,,61.2,40.8,40.8,51,40.8,45.9,40.8,40.8,35.7,30.6,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PA11,Age group,65 +,6.9,12.8,118,151.2,94.3,49.2,35.8,38.5,32.4,40.7,579.9,**,**,,,,*,*,*,*,*,,81.6,76.5,15.3,15.3,15.3,30.6,30.6,35.7,35.7,35.7,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PE01,Ethnicity,European,190.5,237.2,243,262.2,255.2,257.7,247.9,278.6,275.2,302.8,2550.2,,,,,,,,,,,,15.3,15.3,15.3,10.2,10.2,15.3,15.3,10.2,15.3,10.2,5.1,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PE02,Ethnicity,Maori,48,52.2,60.5,40.1,46.6,46.3,52.4,39.2,35.8,24.2,445.4,*,*,*,*,*,*,*,*,*,*,,30.6,25.5,25.5,30.6,30.6,30.6,30.6,30.6,25.5,40.8,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PE03,Ethnicity,Asian,77.3,48.8,34,25.2,36.2,28.7,37.3,39.7,34.7,22.8,384.7,*,*,*,*,*,*,*,*,*,*,,30.6,35.7,35.7,45.9,35.7,45.9,40.8,35.7,35.7,45.9,15.3,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PE04,Ethnicity,Pacific people,48.8,31.7,21.3,30.5,27.3,26.2,20.2,14.4,9.8,3.3,233.5,*,*,**,**,*,*,*,**,**,**,*,40.8,45.9,51,51,45.9,45.9,45.9,61.2,56.1,91.8,25.5,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PE05,Ethnicity,MELAA,5.4,7.4,3.8,,3.7,,,,,,32.2,**,**,***,S,***,S,S,S,S,S,*,91.8,76.5,102,,117.3,,,,,,45.9,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PE06,Ethnicity,Other ethnic group,4.9,6.1,8.8,9.3,6.7,5.8,14.5,5.2,6.1,6.9,74.2,***,**,***,**,**,**,**,**,**,**,*,107.1,66.3,132.6,81.6,71.4,71.4,56.1,61.2,66.3,66.3,30.6,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ01,Highest qualification,No qualification,86.6,61.9,105.5,102.2,80.7,52,39.3,40.7,22,11.1,602.1,*,*,,,*,*,*,*,*,*,,20.4,35.7,20.4,20.4,20.4,25.5,35.7,35.7,40.8,51,10.2,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ02,Highest qualification,Level 1 -Level 3 Certificate,144.2,154.5,93.1,91,99,104,103.8,79.3,65.9,50.5,985.4,,,,*,,,,*,*,*,,20.4,15.3,20.4,20.4,20.4,20.4,20.4,20.4,25.5,25.5,5.1,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ03,Highest qualification,Level 4 Certificate,13.3,20.8,40.5,37.5,40.8,48.8,43.1,63.7,41.7,42.2,392.5,**,*,*,*,*,*,*,*,*,*,,56.1,35.7,35.7,25.5,30.6,30.6,25.5,25.5,30.6,30.6,10.2,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ04,Highest qualification,Level 5 or level 6 Diploma,14.6,31.8,29,40.3,39.9,44.4,54.2,42.7,58.1,42.9,398,**,*,*,*,*,*,*,*,*,*,,61.2,35.7,35.7,30.6,35.7,30.6,25.5,25.5,30.6,30.6,10.2,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ05,Highest qualification,Bachelor Degree & Level 7,17.8,36.2,19.9,24.1,22,27.6,44.4,45.9,79.6,86.6,404.1,*,*,*,*,*,*,*,*,*,*,,40.8,35.7,40.8,40.8,35.7,35.7,30.6,30.6,25.5,20.4,10.2,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ06,Highest qualification,Postgraduate & Honours Degrees,9.2,9.3,6.9,4.7,8.4,7.2,10.3,25.8,27.2,43.2,152.3,**,**,**,**,**,**,**,**,*,*,,66.3,56.1,66.3,66.3,71.4,71.4,56.1,66.3,40.8,30.6,20.4,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ07,Highest qualification,Masters Degree,4.9,6.3,3.7,5.8,6.3,9.7,10.1,8.2,19,29.7,103.8,**,**,**,**,**,**,**,**,**,*,,86.7,96.9,71.4,66.3,56.1,71.4,76.5,71.4,56.1,30.6,20.4,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ08,Highest qualification,Doctorate Degree,,,,,,,,4.2,,7.9,18.3,S,S,S,S,S,S,S,**,S,**,*,,,,,,,,76.5,,61.2,40.8,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ09,Highest qualification,Other Post-school,9.3,10.2,16.2,14.5,18.5,23.5,21.7,22.9,16.6,15.9,169.4,**,**,**,**,*,**,**,**,**,*,,81.6,66.3,56.1,56.1,40.8,56.1,61.2,56.1,66.3,35.7,20.4,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ10,Highest qualification,Other NZ Secondary School,9.1,,4,4.2,5.8,2.5,,,,,31,**,S,***,**,***,***,S,S,,,**,91.8,,107.1,102,102,112.2,,,,,51,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ11,Highest qualification,Overseas Secondary School,25,17.5,22.5,18.7,24.6,12.8,11.2,15.8,8,12.4,168.6,*,*,*,*,*,**,**,**,**,**,,45.9,45.9,40.8,40.8,45.9,51,51,66.3,71.4,96.9,20.4,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PQ12,Highest qualification,Not Specified,,,,,,,,,,,7.3,,S,S,S,,S,S,S,S,S,**,,,,,,,,,,,91.8,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PL01,Labour force status,Employed,38.5,153.9,100.7,111.8,213.9,261.2,311.1,325.4,308,328.8,2153.4,*,,,,,,,,,,,40.8,15.3,20.4,20.4,15.3,15.3,10.2,10.2,10.2,10.2,0,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PL02,Labour force status,Unemployed,28.9,38,21.4,15.6,11.4,7.6,3.1,,,,129.9,*,*,*,*,**,**,***,S,S,S,,45.9,40.8,35.7,45.9,61.2,71.4,117.3,,,,20.4,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2013,PL03,Labour force status,Not in the Labour Force,267,160.2,221.2,217.3,121.7,66.3,26.5,26.1,29.5,13.6,1149.4,,,,,,*,*,*,*,**,,15.3,15.3,15.3,10.2,15.3,25.5,40.8,40.8,40.8,51,5.1,Under      $600,"$600 To   $10,399","$10,400 To   $16,999","$17,000 To   $22,799","$22,800 To   $31,299","$31,300 To   $39,999","$40,000 To   $49,999","$50,000 To   $62,599","$62,600 To   $82,299","$82,300 and Over"
T10,2014,PS01,Sex,Male,146.1,135.9,136.4,134.4,130.6,157.7,183.8,184.1,213.7,259.8,1682.6,,,,,,,,,,,,15.3,15.3,15.3,10.2,15.3,15.3,10.2,15.3,10.2,10.2,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PS02,Sex,Female,198.9,215,214.7,208.1,219.2,192.5,163,164.5,135,88.1,1799,,,,,,,,,,,,10.2,10.2,10.2,10.2,10.2,10.2,10.2,15.3,15.3,15.3,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,P999,Total People 15+,Total people 15+,345,350.8,351.1,342.6,349.8,350.2,346.8,348.6,348.6,348,3481.6,,,,,,,,,,,,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA01,Age group,15-19,167.8,77.6,21.7,9.3,11.6,5.4,4.4,,,,299.2,,,*,**,**,**,**,S,,,,10.2,20.4,40.8,56.1,56.1,71.4,81.6,,,,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA02,Age group,20-24,30.1,68.2,43.2,28,43.9,43.4,24.4,19.7,9.7,,312.4,**,*,*,*,*,*,*,*,**,S,,51,20.4,30.6,30.6,25.5,30.6,35.7,40.8,66.3,,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA03,Age group,25-29,18.1,31.8,23.7,15.8,32.4,34.1,42.9,38.3,30.1,12.2,279.4,*,*,*,*,*,*,*,*,*,*,,40.8,30.6,35.7,45.9,30.6,30.6,25.5,30.6,30.6,45.9,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA04,Age group,30-34,15.9,26.2,12.7,10.8,16.5,34.4,47.5,39.9,38.5,28.6,270.9,*,*,*,**,*,*,*,*,*,*,,40.8,30.6,40.8,51,40.8,25.5,25.5,25.5,30.6,30.6,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA05,Age group,35-39,14.9,30.8,21.2,16.2,18.5,33.1,30.8,29.7,36,40.2,271.4,*,*,*,**,*,*,*,*,*,*,,40.8,25.5,35.7,56.1,35.7,30.6,30.6,25.5,25.5,20.4,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA06,Age group,40-44,16.7,24.5,20.1,18,28.3,30.6,36.8,40,52.3,44.5,311.9,*,*,*,*,*,*,*,*,*,*,,45.9,35.7,40.8,30.6,30.6,25.5,25.5,25.5,25.5,25.5,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA07,Age group,45-49,14.3,15.2,20.7,17.2,32.1,33.4,30.4,43.4,49.8,51.8,308.3,**,*,*,*,*,*,*,*,*,*,,51,40.8,40.8,40.8,25.5,25.5,30.6,25.5,20.4,20.4,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA08,Age group,50-54,23.4,16.9,23.7,15.6,28.6,34.9,35,42.7,39.1,52.5,312.4,*,*,*,*,*,*,*,*,*,*,,30.6,40.8,30.6,40.8,35.7,25.5,25.5,25.5,25.5,20.4,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA09,Age group,55-59,15.1,15.4,24.8,20.2,16.8,31.4,30.4,29.1,39.3,50.2,272.7,*,*,*,*,*,*,*,*,*,,,40.8,45.9,35.7,40.8,35.7,25.5,30.6,30.6,25.5,20.4,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA10,Age group,60-64,24.2,22.1,25,18.3,20.5,24.6,19.5,28.2,27.9,29.7,240.1,*,*,*,*,*,*,*,*,*,*,,30.6,40.8,30.6,35.7,35.7,35.7,40.8,35.7,30.6,30.6,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PA11,Age group,65 +,4.5,22.1,114.1,173,100.6,45,44.8,36.2,26,36.5,602.9,**,*,,,,*,*,*,*,*,,81.6,45.9,15.3,10.2,15.3,25.5,25.5,30.6,30.6,30.6,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PE01,Ethnicity,European,211.5,237.5,244,259.8,258.5,254,258.4,268.8,290.5,307.8,2590.7,,,,,,,,,,,,15.3,15.3,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,5.1,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PE02,Ethnicity,Maori,64.4,51.5,49.2,53.8,54.7,46,41.2,40.3,33.2,18.6,452.9,,*,,,*,*,*,*,*,**,,15.3,20.4,20.4,20.4,30.6,25.5,25.5,25.5,25.5,56.1,0,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PE03,Ethnicity,Asian,59.5,58.6,39.2,25.7,34.6,44.7,39.5,33.5,20.4,23.3,379.1,*,*,*,*,*,*,*,*,*,*,,30.6,30.6,35.7,35.7,35.7,30.6,25.5,30.6,35.7,35.7,15.3,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PE04,Ethnicity,Pacific people,30.5,27.7,26.1,14,20.9,23.6,19,14.4,12.4,5.4,193.8,*,*,*,*,*,*,*,*,*,**,,35.7,35.7,35.7,45.9,35.7,30.6,35.7,45.9,45.9,66.3,15.3,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PE05,Ethnicity,MELAA,8.3,5.5,5.5,4.8,4.2,3.6,4.2,2.8,2.5,3.9,45.4,**,**,**,**,**,**,**,**,**,**,*,71.4,91.8,66.3,76.5,81.6,81.6,96.9,91.8,96.9,81.6,40.8,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PE06,Ethnicity,Other ethnic group,7.9,2.6,11.3,6,9.9,7.5,7.9,7.1,10.8,3.5,74.5,**,**,**,**,**,**,**,***,*,**,*,66.3,96.9,56.1,71.4,66.3,66.3,66.3,122.4,45.9,81.6,30.6,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PQ01,Highest qualification,No qualification,98,57.9,109.3,101.6,82.6,47.3,40.7,37.2,28.8,14,617.4,,*,,,,*,*,*,*,*,,20.4,25.5,15.3,15.3,20.4,25.5,20.4,30.6,30.6,45.9,10.2,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
T10,2014,PQ02,Highest qualification,Level 1 -Level 3 Certificate,145.7,143.4,105.7,83.6,97.7,120.9,98.1,94.9,66.2,69.3,1025.6,,,,*,,,,,,*,,15.3,15.3,15.3,20.4,15.3,15.3,20.4,15.3,20.4,25.5,5.1,"Under    $1,000","$1,000 To   $10,899","$10,900 To   $17,199","$17,200 To   $22,899","$22,900 To   $31,699","$31,700 To   $41,399","$41,400 To   $51,099","$51,100 To   $64,199","$64,200 To   $85,999","$86,000 and Over"
